method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
KS_sce_scaled_original,ImmmCellTyper_sce_scaled_original,,0.466628328211768,0.293880084403602,0.222588386629324,0.280204013010666,0.618729144495302
KS_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,,0.481352793093199,0.314106401674349,0.258563709936703,0.298068760576902,0.636389163734654
Manual_sce_scaled_original,ImmmCellTyper_sce_scaled_original,,0.538905124513759,0.261916630260245,0.206623045155256,0.226329693866297,0.610112283883692
Manual_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,,0.538905124513759,0.261916630260245,0.206623045155256,0.226329693866297,0.610112283883692
SCINA_sce_scaled_original,ImmmCellTyper_sce_scaled_original,,0.447727107242259,0.133105546121696,0.0547232024264984,0.136602733170863,0.536044337664314
SCINA_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,,0.439418977283545,0.143994680371957,0.0605865020440433,0.157720502299345,0.543209216055901
ACDC_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.54138680026095,0.224285319290617,0.114225771382135,0.0890833497134995,0.321863031653287,0.552421247938217
CyCadas_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,0.579144104824323,0.464874193237158,0.161287956734473,0.0606089003814581,0.103720942371547,0.530676293520769
CyCadas_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,0.579144104824323,0.464874193237158,0.161287956734473,0.0606089003814581,0.103720942371547,0.530676293520769
ImmmCellTyper_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,,0.765409004894786,0.67150896782139,0.80443341586707,0.842154326711694,0.904067860189221
ImmmCellTyper_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,1,1,1,1,1,1
KS_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,,0.500441006188801,0.282369377699044,0.210448791113989,0.257504824426095,0.612009275237372
KS_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,,0.517197322534829,0.322320879666571,0.253149996712033,0.286219237973857,0.632788191557133
Manual_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,,0.581963694287422,0.325786311298946,0.236609300757213,0.256534641247364,0.625111284311804
Manual_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,,0.581963694287422,0.325786311298946,0.236609300757213,0.256534641247364,0.625111284311804
SCINA_sce_scaled_original,ImmmCellTyper_sce_unscaled_original,,0.460881833019641,0.161038448895588,0.0543078009333991,0.120380481195071,0.533216249901492
SCINA_sce_unscaled_original,ImmmCellTyper_sce_unscaled_original,,0.521026331195574,0.104855060853463,0.0419615995269392,0.10935773645628,0.529338268029221
ACDC_sce_scaled_original,KS_sce_scaled_original,0.552273369466475,0.238941217105669,0.125198635638344,0.105448480502198,0.220432655013109,0.555667729184505
CyCadas_sce_scaled_original,KS_sce_scaled_original,0.645845495840772,0.563497027347047,0.303347267678682,0.386753991626372,0.609533736155729,0.726880146877746
CyCadas_sce_unscaled_original,KS_sce_scaled_original,0.645845495840772,0.563497027347047,0.303347267678682,0.386753991626372,0.609533736155729,0.726880146877746
ImmmCellTyper_sce_scaled_original,KS_sce_scaled_original,,0.466628328211768,0.293880084403602,0.222588386629324,0.258226799536054,0.61926124197385
ImmmCellTyper_sce_unscaled_original,KS_sce_scaled_original,,0.500441006188801,0.282369377699044,0.210448791113989,0.242099884410235,0.616200505571855
KS_sce_scaled_original,KS_sce_scaled_original,1,1,1,1,1,1
KS_sce_unscaled_original,KS_sce_scaled_original,,0.887909290296982,0.78420593040988,0.890423767870647,0.906345568279878,0.950631462945136
Manual_sce_scaled_original,KS_sce_scaled_original,,0.817841636349676,0.444116136233725,0.547759954731381,0.632032904551344,0.799259698827386
Manual_sce_unscaled_original,KS_sce_scaled_original,,0.817841636349676,0.444116136233725,0.547759954731381,0.632032904551344,0.799259698827386
