method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
ACDC_sce_scaled_original,ImmCellTyper_sce_unscaled_original,0.535824501192008,0.146124361561322,0.123310987106793,0.0938087225305181,0.308086187791265,0.545849042974578
CyCadas_sce_scaled_original,ImmCellTyper_sce_unscaled_original,0.57413152651361,0.277259205400611,0.141588590921188,0.0503521435782622,0.115517326007481,0.524696952958887
CyCadas_sce_unscaled_original,ImmCellTyper_sce_unscaled_original,0.57413152651361,0.277259205400611,0.141588590921188,0.0503521435782622,0.115517326007481,0.524696952958887
ImmCellTyper_sce_scaled_original,ImmCellTyper_sce_unscaled_original,0.77400819728884,0.493718477256981,0.582777718828387,0.654389701486092,0.711754318615604,0.824609595679946
ImmCellTyper_sce_unscaled_original,ImmCellTyper_sce_unscaled_original,1,1,1,1,1,1
KS_sce_scaled_original,ImmCellTyper_sce_unscaled_original,,0.304100716943998,0.228501843596009,0.148194017141947,0.187201839143489,0.579495368319821
KS_sce_unscaled_original,ImmCellTyper_sce_unscaled_original,,0.316267294238628,0.264320962922881,0.177552631838913,0.208338943365229,0.594097849554339
Manual_sce_scaled_original,ImmCellTyper_sce_unscaled_original,0.667813219634528,0.339084737364878,0.268386366486107,0.184983395207907,0.189854117814236,0.595494227317888
Manual_sce_unscaled_original,ImmCellTyper_sce_unscaled_original,0.667813219634528,0.339084737364878,0.268386366486107,0.184983395207907,0.189854117814236,0.595494227317888
SCINA_sce_scaled_original,ImmCellTyper_sce_unscaled_original,,0.259365516656735,0.0917573092977584,0.0364473050775019,0.0900211977716659,0.522787837506871
SCINA_sce_unscaled_original,ImmCellTyper_sce_unscaled_original,,0.281333610348998,0.0767508837857919,0.0276456578291385,0.0779773543232339,0.520070587831318
ACDC_sce_scaled_original,KS_sce_scaled_original,0.552273369466475,0.238941217105669,0.125198635638344,0.105448480502198,0.220432655013109,0.555667729184505
CyCadas_sce_scaled_original,KS_sce_scaled_original,0.645845495840772,0.563497027347047,0.303347267678682,0.386753991626372,0.609533736155729,0.726880146877746
CyCadas_sce_unscaled_original,KS_sce_scaled_original,0.645845495840772,0.563497027347047,0.303347267678682,0.386753991626372,0.609533736155729,0.726880146877746
ImmCellTyper_sce_scaled_original,KS_sce_scaled_original,0.687101219518651,0.323156173768591,0.256245229525474,0.166497744505336,0.247040837018973,0.588067317061525
ImmCellTyper_sce_unscaled_original,KS_sce_scaled_original,0.703373332325746,0.304100716943998,0.228501843596009,0.148194017141947,0.228801470828912,0.579730577309394
KS_sce_scaled_original,KS_sce_scaled_original,1,1,1,1,1,1
KS_sce_unscaled_original,KS_sce_scaled_original,,0.887909290296982,0.78420593040988,0.890423767870647,0.906345568279878,0.950631462945136
Manual_sce_scaled_original,KS_sce_scaled_original,0.727617256989201,0.773821194688427,0.429034096875115,0.504704601857149,0.620280964431639,0.775261336400737
Manual_sce_unscaled_original,KS_sce_scaled_original,0.727617256989201,0.773821194688427,0.429034096875115,0.504704601857149,0.620280964431639,0.775261336400737
SCINA_sce_scaled_original,KS_sce_scaled_original,,0.610077656237732,0.571140650866087,0.566659175842018,0.718523224118874,0.820397973531257
SCINA_sce_unscaled_original,KS_sce_scaled_original,,0.478595790286276,0.453477668851913,0.407210207593441,0.667293954037957,0.765910743900934
ACDC_sce_scaled_original,KS_sce_unscaled_original,0.557874384522843,0.23790709727772,0.134926033828591,0.112472751200637,0.242743051571365,0.559494956409596
CyCadas_sce_scaled_original,KS_sce_unscaled_original,0.658640781786073,0.56730694868219,0.337378029152239,0.392351634760453,0.613655922629542,0.727474887755503
CyCadas_sce_unscaled_original,KS_sce_unscaled_original,0.658640781786073,0.56730694868219,0.337378029152239,0.392351634760453,0.613655922629542,0.727474887755503
ImmCellTyper_sce_scaled_original,KS_sce_unscaled_original,0.675015955568738,0.332887276323978,0.281843262526151,0.193040597079904,0.310764121416637,0.603206420736838
